CMDLINE C:\Users\PaulE\HumanPoseDetection\localenv\Scripts\python.exe .\script_to_profile.py
MEM 2.312500 1758475895.5310
MEM 4.136719 1758475895.6319
MEM 4.136719 1758475895.7324
MEM 4.136719 1758475895.8332
MEM 4.136719 1758475895.9337
MEM 4.136719 1758475896.0340
MEM 4.136719 1758475896.1346
MEM 4.136719 1758475896.2349
MEM 4.136719 1758475896.3353
MEM 4.136719 1758475896.4356
MEM 4.136719 1758475896.5359
MEM 4.136719 1758475896.6364
MEM 4.136719 1758475896.7369
MEM 4.136719 1758475896.8371
MEM 4.136719 1758475896.9376
MEM 4.136719 1758475897.0379
MEM 4.136719 1758475897.1382
MEM 4.136719 1758475897.2386
MEM 4.136719 1758475897.3389
MEM 4.136719 1758475897.4392
MEM 4.136719 1758475897.5395
MEM 4.136719 1758475897.6401
MEM 4.136719 1758475897.7407
MEM 4.136719 1758475897.8414
MEM 4.136719 1758475897.9416
MEM 4.136719 1758475898.0418
MEM 4.136719 1758475898.1422
MEM 4.136719 1758475898.2428
MEM 4.136719 1758475898.3433
MEM 4.136719 1758475898.4437
MEM 4.136719 1758475898.5442
MEM 4.136719 1758475898.6445
MEM 4.136719 1758475898.7451
MEM 4.136719 1758475898.8456
MEM 4.136719 1758475898.9460
MEM 4.136719 1758475899.0462
MEM 4.136719 1758475899.1465
MEM 4.136719 1758475899.2471
MEM 4.136719 1758475899.3474
MEM 4.136719 1758475899.4477
MEM 4.136719 1758475899.5483
MEM 4.136719 1758475899.6486
MEM 4.136719 1758475899.7493
MEM 4.136719 1758475899.8498
MEM 4.136719 1758475899.9503
MEM 4.136719 1758475900.0507
MEM 4.136719 1758475900.1510
MEM 4.136719 1758475900.2515
MEM 4.136719 1758475900.3520
MEM 4.136719 1758475900.4527
MEM 4.136719 1758475900.5531
MEM 4.136719 1758475900.6536
MEM 4.136719 1758475900.7545
MEM 4.136719 1758475900.8550
MEM 4.136719 1758475900.9556
MEM 4.136719 1758475901.0562
MEM 4.136719 1758475901.1566
MEM 4.136719 1758475901.2575
MEM 4.136719 1758475901.3578
MEM 4.136719 1758475901.4583
MEM 4.136719 1758475901.5586
MEM 4.136719 1758475901.6590
MEM 4.136719 1758475901.7596
MEM 4.136719 1758475901.8599
MEM 4.136719 1758475901.9602
MEM 4.136719 1758475902.0604
MEM 4.136719 1758475902.1606
MEM 4.136719 1758475902.2610
MEM 4.136719 1758475902.3612
MEM 4.136719 1758475902.4618
MEM 4.136719 1758475902.5623
MEM 4.136719 1758475902.6629
MEM 4.136719 1758475902.7631
MEM 4.136719 1758475902.8633
MEM 4.136719 1758475902.9639
MEM 4.136719 1758475903.0643
MEM 4.136719 1758475903.1649
MEM 4.136719 1758475903.2654
MEM 4.136719 1758475903.3659
MEM 4.136719 1758475903.4668
MEM 4.136719 1758475903.5671
MEM 4.136719 1758475903.6674
MEM 4.136719 1758475903.7676
MEM 4.136719 1758475903.8683
MEM 4.136719 1758475903.9690
MEM 4.136719 1758475904.0695
MEM 4.136719 1758475904.1702
MEM 4.136719 1758475904.2704
MEM 4.136719 1758475904.3708
MEM 4.136719 1758475904.4711
MEM 4.136719 1758475904.5714
MEM 4.136719 1758475904.6718
MEM 4.136719 1758475904.7720
MEM 4.136719 1758475904.8722
MEM 4.136719 1758475904.9726
MEM 4.136719 1758475905.0731
MEM 4.136719 1758475905.1735
MEM 4.136719 1758475905.2741
MEM 4.136719 1758475905.3748
MEM 4.136719 1758475905.4755
MEM 4.136719 1758475905.5759
MEM 4.136719 1758475905.6765
MEM 4.136719 1758475905.7767
MEM 4.136719 1758475905.8770
MEM 4.136719 1758475905.9773
MEM 4.136719 1758475906.0776
